Ticker,Name,Exchange,Category
BHARTIARTL.NS,Bharti Airtel Limited,NSI,Wireless Communications
ASHOKLEY.NS,Ashok Leyland Limited,NSI,Auto Manufacturers - Major
AUROPHARMA.NS,Aurobindo Pharma Limited,NSI,Drugs - Generic
AREXMIS.BO,Arex Industries Ltd.,BSE,
SANWARIA.NS,Sanwaria Agro Oils Limited,NSI,Farm Products
ALMONDZ.NS,Almondz Global Securities Limited,NSI,Investment Brokerage - National
ADINATH.BO,Adinath Textiles Ltd,BSE,
SBIN.NS,State Bank of India,NSI,Money Center Banks
BPCL.NS,Bharat Petroleum Corporation Limited,NSI,Oil & Gas Refining & Marketing
MBECL.NS,McNally Bharat Engineering Company Limited,NSI,General Contractors
MAHABANK.NS,Bank of Maharashtra,NSI,Money Center Banks
DBCORP.BO,D. B. Corp Limited,BSE,
BOSCHLTD.NS,Bosch Limited,NSI,Auto Parts
BHEL.BO,Bharat Heavy Electricals Ltd.,BSE,
IDBI.NS,IDBI Bank Limited,NSI,Money Center Banks
IRB.BO,IRB Infrastructure Developers Limited,BSE,
DABUR.NS,Dabur India Limited,NSI,Personal Products
TCIDEVELOP.NS,TCI Developers Limited,NSI,Real Estate Development
NDTV.BO,New Delhi Television Limited,BSE,
ISHITADR.BO,Ishita Drugs & Industries Ltd,BSE,
DRREDDY.NS,Dr. Reddy's Laboratories Limited,NSI,Drugs - Generic
DPSCLTD.NS,India Power Corporation Limited,NSI,Electric Utilities
DLF.BO,DLF Limited,BSE,
DEEPAKSP.BO,Deepak Spinners Limited,BSE,
DANLAW.BO,Danlaw Technologies India Limited,BSE,
VADIDAI.BO,Vadilal Dairy International Ltd.,BSE,
TRIMURTHI.BO,Trimurthi Limited,BSE,
THAKDEV.BO,Thakkers Developers Ltd,BSE,
TATAMTRDVR.BO,TATA MOTORS LTD - DVR,BSE,
SUPDF.BO,SUPERSTAR DISTILLERIES & FOODS,BSE,
SHRIDINE.BO,Shri Dinesh Mills Limited,BSE,
RADHEDE.BO,Radhe Developers (India) Ltd.,BSE,
MANGALAM.BO,Mangalam Drugs & Organics Limited,BSE,
MAHLIFE.NS,Mahindra Lifespace Developers Limited,NSI,Real Estate Development
LPDC.NS,Landmark Property Development Company Limited,NSI,Real Estate Development
KAUSHALYA.NS,Kaushalya Infrastructure Development Corporation Limited,NSI,General Contractors
IRB.NS,IRB Infrastructure Developers Limited,NSI,Heavy Construction
INDTONER.BO,Indian Toners & Developers Ltd.,BSE,
HDIL.NS,Housing Development and Infrastructure Limited,NSI,Real Estate Development
HDIL.BO,Housing Development & Infrastructure Limited,BSE,
HDFC.NS,Housing Development Finance Corporation Limited,NSI,Mortgage Investment
HDFC.BO,Housing Development Finance Corporation Limited,BSE,
GOLKUNDIA.BO,Golkunda Diamonds & Jewellery Limited,BSE,
GOENKA.NS,Goenka Diamond and Jewels Limited,NSI,Jewelry Stores
ENERGYDEV.NS,Energy Development Company Limited,NSI,Electric Utilities
EIDPARRY.BO,E.I.D.- Parry (India) Limited,BSE,
KELENRG.BO,Keltech Energies Limited,BSE,
SCHNEIDER.NS,Schneider Electric Infrastructure Limited,NSI,Diversified Machinery
EASTSILK.BO,Eastern Silk Industries Ltd.,BSE,
TATAELXSI.NS,Tata Elxsi Limited,NSI,Technical & System Software
SWARAJENG.NS,Swaraj Engines Limited,NSI,Auto Parts
RECLTD.NS,Rural Electrification Corporation Limited,NSI,Credit Services
PEL.NS,Piramal Enterprises Limited,NSI,Drug Manufacturers - Major
MKEXIM.BO,M.K. Exim (India) Limited,BSE,
IBREALEST.BO,Indiabulls Real Estate Limited,BSE,
EMMESSA.BO,Emmessar Biotech & Nutrition Limited,BSE,
ECOM.BO,E.com Infotech India Ltd.,BSE,
BEL.BO,Bharat Electronics Limited,BSE,
