Name,Exchange,Ticker,corr
Bharti Airtel Limited,NSI,BHARTIARTL.NS,3.1
Ashok Leyland Limited,NSI,ASHOKLEY.NS,-2.19
Aurobindo Pharma Limited,NSI,AUROPHARMA.NS,-0.17
Arex Industries Ltd.,BSE,AREXMIS.BO,9.9
Sanwaria Agro Oils Limited,NSI,SANWARIA.NS,-58.39
Almondz Global Securities Limited,NSI,ALMONDZ.NS,-12.91
Adinath Textiles Ltd,BSE,ADINATH.BO,-1.86
State Bank of India,NSI,SBIN.NS,-2.53
Bharat Petroleum Corporation Limited,NSI,BPCL.NS,6.8
McNally Bharat Engineering Company Limited,NSI,MBECL.NS,3.28
Bank of Maharashtra,NSI,MAHABANK.NS,-28.94
D. B. Corp Limited,BSE,DBCORP.BO,-9.93
Bosch Limited,NSI,BOSCHLTD.NS,-23.36
Bharat Heavy Electricals Ltd.,BSE,BHEL.BO,-13.97
IDBI Bank Limited,NSI,IDBI.NS,-43.27
IRB Infrastructure Developers Limited,BSE,IRB.BO,-10.32
Dabur India Limited,NSI,DABUR.NS,9.16
TCI Developers Limited,NSI,TCIDEVELOP.NS,-31.05
New Delhi Television Limited,BSE,NDTV.BO,-39.54
Ishita Drugs & Industries Ltd,BSE,ISHITADR.BO,2.06
Dr. Reddy's Laboratories Limited,NSI,DRREDDY.NS,10.62
India Power Corporation Limited,NSI,DPSCLTD.NS,-33.43
DLF Limited,BSE,DLF.BO,8.48
Deepak Spinners Limited,BSE,DEEPAKSP.BO,-16.24
Danlaw Technologies India Limited,BSE,DANLAW.BO,20.84
Vadilal Dairy International Ltd.,BSE,VADIDAI.BO,
Trimurthi Limited,BSE,TRIMURTHI.BO,
Thakkers Developers Ltd,BSE,THAKDEV.BO,28.83
TATA MOTORS LTD - DVR,BSE,TATAMTRDVR.BO,0.98
SUPERSTAR DISTILLERIES & FOODS,BSE,SUPDF.BO,
Shri Dinesh Mills Limited,BSE,SHRIDINE.BO,-17.56
Radhe Developers (India) Ltd.,BSE,RADHEDE.BO,-30.74
Mangalam Drugs & Organics Limited,BSE,MANGALAM.BO,-9.44
Mahindra Lifespace Developers Limited,NSI,MAHLIFE.NS,11.09
Landmark Property Development Company Limited,NSI,LPDC.NS,-20.86
Kaushalya Infrastructure Development Corporation Limited,NSI,KAUSHALYA.NS,7.53
IRB Infrastructure Developers Limited,NSI,IRB.NS,-9.84
Indian Toners & Developers Ltd.,BSE,INDTONER.BO,-10.83
Housing Development and Infrastructure Limited,NSI,HDIL.NS,-45.72
Housing Development & Infrastructure Limited,BSE,HDIL.BO,-45.13
Housing Development Finance Corporation Limited,NSI,HDFC.NS,
Housing Development Finance Corporation Limited,BSE,HDFC.BO,-1.12
Golkunda Diamonds & Jewellery Limited,BSE,GOLKUNDIA.BO,-11.17
Goenka Diamond and Jewels Limited,NSI,GOENKA.NS,20.81
Energy Development Company Limited,NSI,ENERGYDEV.NS,-30.36
E.I.D.- Parry (India) Limited,BSE,EIDPARRY.BO,-30.3
Keltech Energies Limited,BSE,KELENRG.BO,-27.78
Schneider Electric Infrastructure Limited,NSI,SCHNEIDER.NS,-14.21
Eastern Silk Industries Ltd.,BSE,EASTSILK.BO,-28.84
Tata Elxsi Limited,NSI,TATAELXSI.NS,24.72
Swaraj Engines Limited,NSI,SWARAJENG.NS,-32.35
Rural Electrification Corporation Limited,NSI,RECLTD.NS,-21.7
Piramal Enterprises Limited,NSI,PEL.NS,-12.07
M.K. Exim (India) Limited,BSE,MKEXIM.BO,-26.61
Indiabulls Real Estate Limited,BSE,IBREALEST.BO,-21.77
Emmessar Biotech & Nutrition Limited,BSE,EMMESSA.BO,1.74
E.com Infotech India Ltd.,BSE,ECOM.BO,
Bharat Electronics Limited,BSE,BEL.BO,-27.76
Adani Ports and Special Economic Zone Limited,NSI,ADANIPORTS.NS,0.67
Anukaran Commercial Enterprises Ltd.,BSE,ZANUKCOM.BO,
Oracle Financial Services Software Limited,NSI,OFSS.NS,-2.33
LIC Housing Finance Limited,NSI,LICHSGFIN.NS,-21.16
Sundram Fasteners Limited,BSE,SUNDRMFAST.BO,-15.01
Sundaram Finance Limited,BSE,SUNDARMFIN.BO,-15.52
Relaxo Footwears Limited,BSE,RELAXO.BO,-14.92
Rashtriya Chemicals And Fertilizers Limited,BSE,RCF.BO,-22.17
PTC India Financial Services Limited,NSI,PFS.NS,-43.0
Power Finance Corporation Limited,NSI,PFC.NS,-43.93
Muthoot Finance Limited,NSI,MUTHOOTFIN.NS,-3.17
KZ Leasing & Finance Ltd.,BSE,KZLFIN.BO,21.08
Hindustan Foods Limited,BSE,HNDFDS.BO,11.67
Hilton Metal Forging Limitied,BSE,HILTON.BO,-3.37
Gowra Leasing & Finance Ltd.,BSE,GOWRALE.BO,-18.42
Force Motors Ltd.,BSE,FORCEMOT.BO,-39.77
Foods & Inns Ltd.,BSE,FOODSIN.BO,-0.37
Filmcity Media Ltd.,BSE,FILME.BO,
The Fertilisers And Chemicals Travancore Limited,NSI,FACT.NS,1.6
Ad-Manum Finance Ltd,BSE,ADMANUM.BO,24.39
Wall Street Finance Ltd.,BSE,WSFIN.BO,-32.09
Wallfort Financial Services Limited,BSE,WALLFORT.BO,-34.34
Voith Paper Fabrics India Limited,BSE,VOITHPAPR.BO,-23.81
VBC Ferro Alloys Limited,BSE,VBCFERROQ.BO,-1.0
Gujarat State Petronet Limited,NSI,GSPL.NS,-19.87
Gayatri Projects Limited,BSE,GAYAPROJ.BO,-48.49
GAIL (India) Limited,NSI,GAIL.NS,-5.49
TAJGVK Hotels & Resorts Limited,BSE,TAJGVK.BO,-17.66
Power Grid Corporation of India Limited,NSI,POWERGRID.NS,-12.58
Oil and Natural Gas Corp. Ltd.,BSE,ONGC.BO,5.72
Vardhman Holdings Limited,NSI,VHL.NS,-10.83
Hindustan Unilever Limited,NSI,HINDUNILVR.NS,-3.51
Hindustan Petroleum Corporation Limited,NSI,HINDPETRO.NS,-0.41
Hindustan Construction Company Limited,NSI,HCC.NS,-41.71
